c	d	c1	c2	c3	c4	c5
63	551708859	551708859	3.04382665099082E+017	1.67930612861194E+026	9.26488068128199E+034	5.11151674944123E+043
64	560607389	560607389	3.14280644601397E+017	1.76188051583226E+026	9.87723235710698E+034	5.53724944226406E+043
65	569505919	569505919	3.24336991776035E+017	1.84711836567106E+026	1.05194484234328E+035	5.99088814176017E+043
66	578404449	578404449	3.34551706622994E+017	1.93506195531282E+026	1.11924844404358E+035	6.47378279571132E+043
67	587302979	587302979	3.44924789142274E+017	2.02575356194205E+026	1.18973110164842E+035	6.98732620207072E+043
68	596201509	596201509	3.55456239333877E+017	2.11923546274323E+026	1.26349138081383E+035	7.53295467849696E+043
69	605100039	605100039	3.66146057197802E+017	2.21554993490086E+026	1.34062935201496E+035	8.11214873188795E+043
70	613998569	613998569	3.76994242734048E+017	2.31473925559944E+026	1.42124659054618E+035	8.72643372791484E+043
71	622897099	622897099	3.88000795942616E+017	2.41684570202346E+026	1.50544617652103E+035	9.37738056055594E+043
72	631795629	631795629	3.99165716823506E+017	2.52191155135743E+026	1.59333269487223E+035	1.00666063216307E+044
73	640694159	640694159	4.10489005376717E+017	2.62997908078582E+026	1.68501223535167E+035	1.07957749703335E+044
74	649592689	649592689	4.21970661602251E+017	2.74109056749315E+026	1.78059239253041E+035	1.15665980027677E+044
75	658491219	658491219	4.33610685500106E+017	2.8552882886639E+026	1.88018226579872E+035	1.23808351214798E+044
76	667389749	667389749	4.45409077070283E+017	2.97261452148258E+026	1.98389245936601E+035	1.32402949049928E+044
77	676288279	676288279	4.57365836312782E+017	3.09311154313367E+026	2.0918350822609E+035	1.41468354773405E+044
78	685186809	685186809	4.69480963227602E+017	3.21682163080167E+026	2.20412374833117E+035	1.51023651776016E+044
79	694085339	694085339	4.81754457814745E+017	3.34378706167108E+026	2.32087357624379E+035	1.61088432294331E+044
80	702983869	702983869	4.94186320074209E+017	3.4740501129264E+026	2.44220118948489E+035	1.71682804106049E+044
81	711882399	711882399	5.06776550005995E+017	3.60765306175211E+026	2.56822471635979E+035	1.8282739722533E+044
82	720780929	720780929	5.19525147610103E+017	3.74463818533272E+026	2.69906378999299E+035	1.94543370598141E+044
83	729679459	729679459	5.32432112886533E+017	3.88504776085272E+026	2.83483954832817E+035	2.06852418797591E+044
84	738577989	738577989	5.45497445835284E+017	4.02892406549661E+026	2.97567463412819E+035	2.19776778719271E+044
85	747476518	747476518	5.58721144961404E+017	4.17630935968724E+026	3.12169317826983E+035	2.33339234715748E+044
86	756375048	756375048	5.72103213237002E+017	4.32724595373092E+026	3.27302086596103E+035	2.47563131459627E+044
87	765273578	765273578	5.85643649184922E+017	4.48177610844722E+026	3.42978483830632E+035	2.62472371498083E+044
88	774172108	774172108	5.99342452805164E+017	4.63994210102064E+026	3.5921137573451E+035	2.78091427969965E+044
89	783070638	783070638	6.13199624097727E+017	4.80178620863567E+026	3.76013778993594E+035	2.94445349813304E+044
